uniprot_id	protein	gene	refseq	control_average_tpm.txt	stat_average_tpm.txt	logTPM_control	logTPM_stat
Q9I0C4	Probable transcriptional regulator	NA	NP_251408.1;WP_003114388.1;	98.4278	96.0759	6.620993943558516	6.586102680819783
Q9HXW2	Probable transcriptional regulator	NA	NP_252368.1;WP_003092468.1;	84.9251	40.2344	6.408119106778051	5.330357613389535
Q9HVS2	Probable transcriptional regulator	NA	NP_253189.1;WP_003094433.1;	207.949	124.778	7.700085937040746	6.963219780314934
Q9I4Y6	Uncharacterized protein	NA	NP_249674.1;WP_003112565.1;	272.959	376.669	8.09254045616225	8.55715349360264
Q9HX68	Two-component response regulator RocA1	rocA1	NP_252637.1;WP_003106011.1;	173.08	47.3826	7.435295215647167	5.566285459868861
Q9HXV1	Probable transcriptional regulator	NA	NP_252379.1;WP_003103716.1;	100.124	61.7088	6.64564402339752	5.947404334846801
Q9HTK2	Transcriptional regulator GlcC	glcC	NP_254043.1;WP_003115387.1;	112.67	90.634	6.8159596182148645	6.501980452330438
Q9HTP6	Leucine-responsive regulatory protein	lrp	NP_253995.1;WP_003096535.1;	240.06099999999998	52.9492	7.907257234006422	5.726536981848097
Q9HZF2	HTH cro/C1-type domain-containing protein	NA	NP_251746.1;WP_003143634.1;	144.389	56.3881	7.173817027221874	5.817318826972212
Q9I4Z7	Probable dna-binding stress protein	NA	NP_249653.1;WP_003086103.1;	2869.41	535.66	11.486538409166611	9.065173757707907
Q9I2T9	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon	NP_250494.1;WP_003087926.1;	211.081	137.304	7.721652913228055	7.101229845092981
Q9HVC1	HTH cro/C1-type domain-containing protein	NA	NP_253363.1;WP_003113527.1;	339.56300000000005	170.744	8.407535456013646	7.415691072405266
Q9HXI7	IscR	iscR	NP_252504.1;WP_003092836.1;	1005.39	552.987	9.973539529273335	9.111101754762768
Q9HTL4	OxyR	oxyR	NP_254031.1;WP_003096622.1;	112.146	40.6991	6.809234353372537	5.346924986678809
Q9HT12	Probable chromosome-partitioning protein ParB	spoOJ	NP_254249.1;WP_003100240.1;	100.566	31.1117	6.651998821734254	4.959385323400336
Q9HTG1	Probable transcriptional regulator	NA	NP_254090.1;WP_003096753.1;	84.0379	20.8755	6.392968206238645	4.383738847630061
Q9HT74	Transcriptional regulator np20	np20	NP_254186.1;WP_003096992.1;	170.06599999999997	89.3967	7.409950932573065	6.482149671469267
Q9HTQ3	Probable transcriptional regulator	NA	NP_253988.1;WP_003096513.1;	369.62699999999995	320.386	8.52992633436253	8.323667297034897
Q9HYY0	Probable transcriptional regulator	NA	NP_251950.1;WP_003114792.1;	259.673	300.619	8.020552204595326	8.231792384456561
Q9HZF3	Uncharacterized protein	NA	NP_251745.1;WP_003115353.1;	121.527	37.9156	6.925133066886933	5.244719648087371
Q9I295	Regulator of liu genes	liuR	NP_250706.1;WP_003100383.1;	278.28700000000003	61.4167	8.120429705438175	5.940559091383221
Q9I0Z8	HTH tetR-type domain-containing protein	NA	NP_251174.1;WP_003113298.1;	154.812	185.9	7.274373493747387	7.538382960032119
Q9I3J3	Probable transcriptional regulator	NA	NP_250211.1;WP_003083340.1;	147.18	65.3603	7.201437829504034	6.030342700273024
Q9HY46	NalD	nalD	NP_252264.1;WP_003092152.1;	88.6094	20.2537	6.469387848002213	4.340113582343594
G3XD78	Regulatory protein RsaL	rsaL	NP_250122.1;WP_003083010.1;	5433.31	5205.5	12.407615647648468	12.345821028950624
Q9HX76	Probable DNA binding protein	NA	NP_252629.1;WP_003093079.1;	4000.12	454.58	11.965827564864114	8.828390401568967
Q9I5F9	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon	NP_249470.1;WP_003101982.1;	104.516	40.7516	6.707580006279024	5.3487847988139015
